Wavelength (nm), Intensity (a.u.)
527.250,1.0477e-03
527.260,1.0420e-03
527.270,1.0364e-03
527.280,1.0309e-03
527.290,1.0254e-03
527.300,1.0200e-03
527.310,1.0146e-03
527.320,1.0093e-03
527.330,1.0040e-03
527.340,9.9878e-04
527.350,9.9360e-04
527.360,9.8847e-04
527.370,9.8339e-04
527.380,9.7836e-04
527.390,9.7337e-04
527.400,9.6844e-04
527.410,9.6355e-04
527.420,9.5871e-04
527.430,9.5391e-04
527.440,9.4917e-04
527.450,9.4447e-04
527.460,9.3982e-04
527.470,9.3521e-04
527.480,9.3065e-04
527.490,9.2614e-04
527.500,9.2167e-04
527.510,9.1724e-04
527.520,9.1286e-04
527.530,9.0853e-04
527.540,9.0424e-04
527.550,8.9999e-04
527.560,8.9579e-04
527.570,8.9163e-04
527.580,8.8751e-04
527.590,8.8343e-04
527.600,8.7940e-04
527.610,8.7540e-04
527.620,8.7145e-04
527.630,8.6754e-04
527.640,8.6367e-04
527.650,8.5984e-04
527.660,8.5605e-04
527.670,8.5230e-04
527.680,8.4859e-04
527.690,8.4492e-04
527.700,8.4129e-04
527.710,8.3769e-04
527.720,8.3414e-04
527.730,8.3062e-04
527.740,8.2714e-04
527.750,8.2369e-04
527.760,8.2028e-04
527.770,8.1691e-04
527.780,8.1357e-04
527.790,8.1027e-04
527.800,8.0700e-04
527.810,8.0377e-04
527.820,8.0058e-04
527.830,7.9741e-04
527.840,7.9429e-04
527.850,7.9119e-04
527.860,7.8813e-04
527.870,7.8510e-04
527.880,7.8210e-04
527.890,7.7914e-04
527.900,7.7621e-04
527.910,7.7331e-04
527.920,7.7044e-04
527.930,7.6760e-04
527.940,7.6480e-04
527.950,7.6202e-04
527.960,7.5927e-04
527.970,7.5656e-04
527.980,7.5387e-04
527.990,7.5121e-04
528.000,7.4858e-04
528.010,7.4598e-04
528.020,7.4341e-04
528.030,7.4087e-04
528.040,7.3836e-04
528.050,7.3587e-04
528.060,7.3341e-04
528.070,7.3097e-04
528.080,7.2857e-04
528.090,7.2619e-04
528.100,7.2383e-04
528.110,7.2151e-04
528.120,7.1921e-04
528.130,7.1693e-04
528.140,7.1468e-04
528.150,7.1245e-04
528.160,7.1025e-04
528.170,7.0807e-04
528.180,7.0592e-04
528.190,7.0379e-04
